swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
56,23.652590343506855,16.86635932033983,37.184416275929735,43.01407632315981,1.1091824814297575,1.5110062508205444,1.260814487810151
57,23.585036802072924,16.74758620689655,37.21899517449049,43.08162986459375,1.1039642977015371,1.5094394038795287,1.261368479851592
58,23.516268953020102,16.6261644177911,37.255219912488705,43.15039771364657,1.1012524582929628,1.506966432995976,1.2512393706181906
59,23.450219501275008,16.509365317341327,37.29036586804097,43.21644716539166,1.1010874258977237,1.507499324460279,1.2391762970742117
60,23.383720070295603,16.39485757121439,37.31959559241562,43.28294659637107,1.0994664989960217,1.5046674929049038,1.238891859262897
61,23.316280629970176,16.277126436781607,37.35243839243601,43.35038603669649,1.100814102760736,1.5063059715262779,1.2428389897982
62,23.24923671192483,16.159815092453773,37.38562832440305,43.41742995474184,1.102913965347007,1.5089808693138653,1.237144456526729
63,23.182142201802282,16.04365317341329,37.4163748152965,43.48452446486439,1.1059651184860444,1.5128099981940366,1.2300661418931258
64,23.114411639805475,15.928113443278358,37.443976307132,43.5522550268612,1.1093853739646307,1.5170662164079416,1.2325096647362634
65,23.046377809848387,15.809687656171912,37.47642464322722,43.620288856818284,1.1115132719720404,1.5220511994279646,1.2327873380395458
66,22.978119357341168,15.695889555222388,37.49897279509898,43.6885473093255,1.1159496490172625,1.5340728655907836,1.2309347111377333
67,22.908146797030817,15.571666666666665,37.53717603901443,43.758519869635855,1.1208388580577466,1.5440772805471186,1.2246826970972746
68,22.839130618271806,15.449400299850073,37.57434137296904,43.82753604839486,1.124422570368761,1.5455351931198684,1.221230852249032
69,22.768012182916028,15.32743628185907,37.604609638317015,43.89865448375065,1.1291801416145342,1.5569554661738947,1.2169778669468656
70,22.695539495187905,15.199475262368814,37.642781348653514,43.97112717147877,1.1338383216619004,1.5668588151351721,1.21480661250056
71,22.622757969158847,15.06917541229385,37.684692049614185,44.043908697507824,1.1367054757827562,1.574357124636598,1.2086440192466874
72,22.549232732670788,14.93935532233883,37.72341942512914,44.11743393399588,1.1399226838874075,1.5817841201826144,1.2048763363261683
